"","ser1","ser2","ser3","r5p1","r5p2","r5p3","r5p4","r5p5","IMP1","IMP2","IMP3","IMP4","IMP5","GMP1","GMP2","GMP3","GMP4","GMP5","INO1","INO2","INO3","INO4","INO5","GUO1","GUO2","GUO3","GUO4","GUO5","GDP1","GDP2","GDP3","GDP4","GDP5","AMP1","AMP2","AMP3","AMP4","AMP5"
"P7_1",15.4040728601786,2.54667374205324,2.50593720597417,5.40949627662813,3.54217956408123,6.66114267349653,1.77616440587227,1.65179386143502,5.71402500838693,2.4449526984581,3.00713677116017,1.01905093206925,0.82854760763462,2.28720837915571,1.24187073025368,1.92110190581488,0.586620930381846,0.513522743104739,2.1850551609782,1.17223919178116,2.21205589448938,0.66258769837801,0.408568011864824,1.25402948842139,0.919863042856222,1.51659900936894,0.399005200924701,0.50190181505888,0.793067213372338,0.507413475361293,0.800613723672353,0.216482985315687,0.245805705631883,0.608113655712145,0.372750868421971,0.549164388468168,0.149254666434033,0.158118665843061
"P7_2",15.5670160123912,2.47199056134722,2.35723377889451,5.31605080800039,3.22304041855474,7.42212377713644,1.78778862751172,2.10374679398828,5.34105989188741,2.26550879755536,3.0420008299611,1.01487027946161,0.86135892780366,2.16327588825097,1.12231261235428,2.04232433616351,0.574738115410435,0.604777159205847,2.10437832024298,1.05302723195418,2.35264561756808,0.653828511403722,0.51359240514183,1.23025547164416,0.84885849238418,1.65517073046883,0.398546885023507,0.584063180315539,0.830189084650076,0.481453180423671,0.962337077042016,0.232251756144405,0.33590576660438,0.63768891390181,0.368763148274525,0.572016500558412,0.155932248180512,0.16286278329121
"P7_3",15.2726347588839,2.52370193388518,2.50584805655311,5.39837586060916,3.71273108561125,6.47698129559621,1.76382077352257,1.4441898923919,5.8794910093589,2.54846082613199,3.07951908750947,1.02827547887527,0.80102891590121,2.31580121354091,1.28268971287381,1.86245099730494,0.585194694346613,0.467134755434134,2.21086421033526,1.24504560106049,2.20050077610199,0.66200161864344,0.356544102189564,1.24176453006351,0.935129753205178,1.44697300371148,0.394058138185058,0.462763019416899,0.781610133619506,0.516091312162992,0.74490078416254,0.212207411594096,0.210234865474755,0.636545301530035,0.399975313709799,0.594868553080049,0.158680556013038,0.156987960946431
"P7_4",15.2963810459583,2.5219238429719,2.51653955705084,5.40057415745075,3.58379277451862,6.69529640344574,1.77633362136942,1.66793500027976,5.75705397637007,2.48416314445793,3.04882148879218,1.02927790135562,0.841954751537316,2.31275250114829,1.26858167112659,1.94247004609389,0.594143634429481,0.522093138516304,2.16455015782056,1.17047253063713,2.19234978652641,0.653320566419611,0.402465911293157,1.27492059220455,0.950161834972918,1.55481547211115,0.409048913246583,0.516861478976544,0.825664642004804,0.532795136548545,0.833624440727062,0.227432430225313,0.256923362217284,0.626507516351928,0.385311801696195,0.568002583100619,0.154832430581858,0.163091560131384
"P7_5",15.3317595025227,2.5285960143019,2.37208171275881,5.36713556488563,3.63662347023493,6.33725622366439,1.721404509218,1.30200852963473,5.88254928129757,2.46141576207675,2.94858511326422,0.981693922868365,0.700572781398799,2.25891162233635,1.22543388103387,1.77658340478274,0.555608460222971,0.418586150767787,2.28755665295524,1.30027098026895,2.25452607646531,0.677129841789825,0.353626412625524,1.15600292324633,0.831922494854412,1.29451910026599,0.352996745326951,0.388140306365351,0.702489578104704,0.450605178426725,0.661021741482643,0.18364436611869,0.174742996578669,0.594290022452897,0.367230126686491,0.564985821056756,0.14580852234587,0.127534622828366
"P7_6",15.5679239728173,2.55155593652908,2.48127120376867,5.37824892024668,3.69368032787108,6.6736947863337,1.78643984974143,1.41934652630213,5.75352411122777,2.52839394353072,3.1747791508168,1.04199464130235,0.781775688771742,2.27607307118699,1.25754118699148,1.88364505048754,0.585927187611705,0.460666378027262,2.21812328066612,1.24765743760976,2.29698947991032,0.677094438154982,0.361007483919224,1.22319146360106,0.915645652622167,1.44814166037955,0.392147942265359,0.449670933843219,0.77211500979031,0.510595583397788,0.75163309831888,0.212555346100243,0.206276166375993,0.645627666366246,0.408907444645139,0.625677165025759,0.163539236346523,0.148804877809298
"P7_7",15.4580678954556,2.51217221281876,2.59135473834319,5.36426141571279,3.74454121299012,6.7353836536344,1.77811891343263,1.48272615045876,5.82090726166099,2.58358711458416,3.22488296500776,1.0587588559446,0.823214884240163,2.25642851662335,1.25661695766272,1.88377800558791,0.575971015441671,0.47095089167258,2.19652123063695,1.24691119892345,2.28761863077524,0.670689560196669,0.362773148311907,1.22250216380653,0.926771079943165,1.46199559174095,0.388278648352329,0.469805382601237,0.748785062261025,0.494947704571711,0.736510801567395,0.201551596044138,0.206110646837561,0.67950220425315,0.427600675958047,0.64733794100778,0.169762927056951,0.16439059679458
"P7_8",15.623597247508,2.56661063692773,2.45879930434961,5.38809423035818,3.50645544431043,6.73983095940968,1.77344404513389,1.59768670791883,5.63448065424152,2.40450334642437,3.02627827017495,1.01223227204251,0.789943878931214,2.23555364236374,1.20228510942023,1.90317211886241,0.573753160307509,0.494616573691857,2.21542439638706,1.19198217577128,2.29069358302797,0.677482941201192,0.410912259537918,1.21080268989193,0.87004816011994,1.46344890944704,0.381271666418496,0.47137129430598,0.753180351345188,0.47727946449736,0.771177093318065,0.203736283171448,0.230564420502771,0.606271462658304,0.371181143214295,0.562127773286681,0.149021547650748,0.14649938841422
"P7_9",15.7244409310053,2.51813594284698,2.32508957901355,5.32508551569086,3.26255443488508,7.21901065171044,1.77332520413974,1.89830376719974,5.3648264024369,2.25392993688607,3.00636331393702,0.996802732607064,0.798621162284707,2.14438256908988,1.10993658864832,1.97669888304351,0.561892428772547,0.555402100511363,2.16936468484708,1.11188671874443,2.38265845513268,0.671822617999534,0.485369952652377,1.18479657375422,0.805305564157198,1.5428490503076,0.375937763551017,0.522209233717467,0.772834228170365,0.451285866334558,0.878990894124581,0.212320956925399,0.293038760318436,0.615606629459702,0.359787316961489,0.565595061121717,0.15030314838471,0.145865894682347
"P7_10",15.4733223810193,2.51162141244255,2.46511406543334,5.35646296862701,3.56197038553145,6.88510803364896,1.7740584885867,1.65144849113668,5.6734216915382,2.46267124712244,3.12220947998017,1.03179904724134,0.814139844423113,2.25171904583545,1.22839716518431,1.93718755767488,0.580571756846999,0.510258916433904,2.17615228466416,1.18715930136535,2.28633388452889,0.66297872170535,0.406668436793438,1.23191104015668,0.905966925949555,1.5229326653797,0.393577198412202,0.498015368104898,0.796820635890184,0.508268536621418,0.825240688667704,0.218745826023489,0.250403703315245,0.649740028182913,0.398781162969454,0.608800148125685,0.161626212889589,0.156447071998123
